ID,Taxon,Weight_N,N15,PercentN,Weight_C,C13,PercentC,QC_N,QC_C,CN,L,C13_LF
s060,Fish,0.5915,9.1,0.103,0.5915,-19.3,0.423,LOW AMP 28,,4.106796117,,
s173,Inv,0.6145,8.7,0.067,0.557,-17,0.261,,,3.895522388,14.40613766,-17.12356351
s174,Inv,0.5645,9.2,0.076,0.524,-15.5,0.289,,,3.802631579,12.85849378,-15.73856418
s175,Inv,0.5445,10.3,0.083,0.585,-15.4,0.332,,,4,16.07692308,-15.40073096
s176,Inv,0.5915,10.6,0.094,0.504,-15.9,0.312,,,3.319148936,3.706624992,-16.8436407
s177,Inv,0.8295,10.2,0.071,0.559,-17.1,0.31,,,4.366197183,21.41112376,-16.71747917
s178,Inv,0.5845,10.6,0.093,0.2775,-16.2,0.343,,,3.688172043,10.86558787,-16.58841111
s179,Inv,0.745,10.9,0.101,0.5215,-15.9,0.395,,,3.910891089,14.65644939,-16.00507448
s180,Inv,0.817,10.6,0.087,0.5925,-16.7,0.316,,,3.632183908,9.854209699,-17.16522642
s181,Inv,0.692,9,0.075,0.481,-18.1,0.269,,,3.586666667,9.01343785,-18.62948354
s182,Inv,0.823,10.1,0.104,0.8175,-15.5,0.396,,,3.807692308,12.94437823,-15.73215127
s183,Inv,0.8095,7.4,0.065,0.8725,-15.2,0.372,,,5.723076923,36.04530936,-13.83103425
s184,Inv,0.8556,9.2,0.088,0.8755,-16.1,0.25,,,2.840909091,-7.664206642,-17.9840317
s185,Inv,0.8495,9.9,0.081,0.8645,-15.5,0.381,,,4.703703704,25.71163277,-14.81801591
s186,Inv,0.863,9.6,0.087,0.828,-17.2,0.312,,,3.586206897,9.004858451,-17.73014112
s187,Inv,0.833,9.4,0.085,0.8825,-16.3,0.325,,,3.823529412,13.21196064,-16.51219466
s188,Inv,0.825,8.9,0.069,0.6885,-16.5,0.329,,,4.768115942,26.47432588,-15.76576407
s189,Inv,0.845,9.1,0.071,0.7375,-16.5,0.137,,,1.929577465,-39.91865451,-21.52252221
s190,Inv,0.8,9.5,0.095,0.878,-16.7,0.348,,,3.663157895,10.41678584,-17.12243365
s191,Inv,0.845,9.6,0.089,0.8705,-15.5,0.317,,,3.561797753,8.546848694,-16.06530099
s192,Inv,0.5825,9.9,0.098,0.5205,-17.2,0.317,,,3.234693878,1.88915547,-18.28897855
s193,Inv,0.8575,8.5,0.067,0.858,-16.3,0.31,,,4.626865672,24.77861718,-15.68228413
s194,Inv,0.815,9.7,0.085,0.8565,-16.7,0.339,,,3.988235294,15.89234191,-16.71423439
s195,Inv,0.68,8.2,0.063,0.545,-15.6,0.254,,,4.031746032,16.57061793,-15.56469437
s196,Inv,0.5245,8.4,0.103,0.347,-17.5,0.353,,,3.427184466,5.92847209,-18.26841597
s197,Inv,0.5125,9.8,0.114,0.35,-16.1,0.467,,,4.096491228,17.55810776,-15.99296443
s198,Inv,0.819,9.6,0.085,0.828,-17.2,0.318,,,3.741176471,11.80065329,-17.51785447
s199,Inv,0.504,9.1,0.094,0.3115,-16.6,0.399,,,4.244680851,19.72500503,-16.33718262
s200,Inv,0.8375,9.2,0.079,0.44,-16.7,0.416,,,5.265822785,31.83158079,-15.60578541
s201,Inv,0.5865,9.7,0.094,0.274,-16.6,0.294,,,3.127659574,-0.523332691,-17.88474688
s202,Inv,NA,NA,NA,NA,NA,NA,,,#VALUE!,#VALUE!,#VALUE!
s203,Inv,0.886,7.8,0.045,0.573,-18.5,0.158,,,3.511111111,7.579633825,-19.13991007
s204,Inv,0.812,6.4,0.032,0.583,-18,0.129,,,4.03125,16.56295269,-17.96525299
s205,Inv,0.8655,8,0.03,0.587,-17.8,0.233,,,7.766666667,49.4525192,-15.60261737
s206,Inv,0.844,7.8,0.036,0.5225,-16,0.191,,,5.305555556,32.22230694,-14.88000347
s207,Inv,0.347,9.3,0.074,0.273,-15.9,0.219,,,2.959459459,-4.583801259,-17.52179744
s208,Inv,0.869,8.6,0.031,0.429,-18.5,0.189,,,6.096774194,39.08090669,-16.9375021
s209,Inv,0.801,7.6,0.052,0.602,-16.5,0.188,,,3.615384615,9.54586871,-16.98874949
s215,Inv,2.7195,9.1,0.011,0.5635,-13.9,0.055,,,5,29.08247423,-12.9889863
s216,Inv,2.77,8.3,0.014,0.6375,-13.7,0.069,,,4.928571429,28.30113298,-12.84163802
s217,Inv,2.1685,8.7,0.015,0.5905,-11,0.049,,,3.266666667,2.585844838,-12.03305067
s219,Inv,0.8605,9,0.07,0.5815,-16.4,0.307,,,4.385714286,21.67473048,-15.99888301
s220,Inv,0.894,10.9,0.081,0.565,-15.5,0.3,,,3.703703704,11.14180929,-15.86752239
s221,Inv,0.804,10.1,0.073,0.526,-15.9,0.325,,,4.452054795,22.55642023,-15.43691427
s222,Inv,0.864,9.2,0.074,0.585,-16.6,0.298,,,4.027027027,16.49763223,-16.57001448
s223,Inv,0.793,9.3,0.07,0.53,-15.8,0.311,,,4.442857143,22.43548387,-15.34539328
s224,Inv,0.809,11.2,0.105,0.49,-14.6,0.389,,,3.704761905,11.16056118,-14.96610571
s225,Inv,0.7955,11.8,0.12,0.5195,-14.5,0.436,,,3.633333333,9.875223454,-14.96362508
s226,Inv,0.802,10.8,0.091,0.4995,-16.5,0.381,,,4.186813187,18.89381879,-16.29667704
s227,Inv,0.824,9.1,0.084,0.4045,-14.1,0.374,,,4.452380952,22.56070115,-13.63661426
s228,Inv,0.4015,7.9,0.087,0.0605,-18.1,0.371,,,4.264367816,20.00354562,-17.81731739
s229,Inv,0.434,8.5,0.103,0.1245,-16.4,0.385,,,3.737864078,11.7428426,-16.72220385
s230,Inv,0.803,8.6,0.055,0.5755,-17.8,0.207,,,3.763636364,12.19048296,-18.0885696
s231,Inv,0.8375,7.2,0.03,0.59,-19.1,0.128,,,4.266666667,20.03593284,-18.8150099
s232,Inv,0.872,8.1,0.049,0.669,-17.2,0.212,,,4.326530612,20.86931953,-16.85580077
s233,Inv,0.8325,6.4,0.03,0.5575,-17.7,0.092,,,3.066666667,-1.956095569,-19.102581
s234,Inv,0.8655,5.7,0.032,0.2355,-19.9,0.181,,,5.65625,35.46607122,-18.5683771
s235,Inv,0.299,6.6,0.055,0.1075,-19.3,0.313,,,5.690909091,35.76795005,-17.94889858
s236,Inv,2.3225,9.2,0.013,0.586,-17.9,0.061,,,4.692307692,25.57487034,-17.22741242
s237,Inv,2.1485,10.6,0.011,0.566,-18.6,0.039,,LOW AMP 44,3.545454545,8.237385036,-19.18911923
s238,Inv,0.8505,8,0.063,0.5695,-15.2,0.266,,,4.222222222,19.40464257,-14.96007521
s239,Inv,0.955,8.6,0.056,0.524,-15,0.25,,,4.464285714,22.71659919,-14.52569412
s240,Inv,0.8325,8.2,0.05,0.628,-17.2,0.167,,,3.34,4.144232974,-18.10891749
s241,Inv,0.9635,7.1,0.03,0.5135,-17.6,0.165,,,5.5,34.06463878,-16.35928328
s242,Inv,0.909,7.4,0.034,0.665,-16,0.175,,,5.147058824,30.63313609,-14.98526006
s243,Inv,0.8735,7.5,0.037,0.6055,-17,0.17,,,4.594594595,24.3790009,-16.40992841
s244,Inv,0.855,6.9,0.035,0.5395,-16.2,0.108,,,3.085714286,-1.503963069,-17.56526874
s245,Inv,0.8405,7.2,0.038,0.5455,-17.4,0.092,,,2.421052632,-20.33461612,-20.42637115
s246,Inv,0.882,6.6,0.031,0.5265,-19.2,0.237,,,7.64516129,48.83436739,-17.03935778
s247,Inv,0.8285,7.4,0.049,0.527,-17,0.184,,,3.755102041,12.04279699,-17.29965512
s248,Inv,0.8975,6.3,0.032,0.5205,-17,0.168,,,5.25,31.67457962,-15.91616289
s249,Inv,0.879,5.8,0.03,0.5225,-17.6,0.156,,,5.2,31.17311528,-16.54937733
s250,Inv,0.8695,7.1,0.053,0.6495,-15.8,0.327,,,6.169811321,39.63678587,-14.20245213
s251,Inv,0.5985,6.3,0.028,0.296,-18.9,0.138,,,4.928571429,28.30113298,-18.04163802
s252,Inv,0.8245,7.1,0.056,0.651,-14.6,0.227,,,4.053571429,16.90637328,-14.54025325
s253,Inv,0.92,9.9,0.096,0.5065,-15.3,0.348,,,3.625,9.722632639,-15.77525834
s254,Inv,0.8605,8.5,0.094,0.635,-14.16,0.433,,,4.606382979,24.52551932,-13.55978446
s255,Inv,0.873,10.1,0.095,0.5165,-15,0.331,,,3.484210526,7.057256252,-15.68040938
s256,Inv,0.871,10.4,0.087,0.5225,-15.3,0.429,,,4.931034483,28.32839364,-14.43979663
s257,Inv,0.524,9.5,0.066,0.4865,-15.1,0.381,,,5.772727273,36.46816976,-13.70385736
s258,Inv,0.804,10.7,0.095,0.5995,-15.5,0.418,,,4.4,21.8664525,-15.08537791
s259,Inv,0.518,9.8,0.071,0.4475,-14.6,0.362,,,5.098591549,30.13045217,-13.61877427
s260,Inv,0.516,8.2,0.071,0.4295,-13.5,0.254,,,3.577464789,8.841394869,-14.04267718
s261,Inv,0.2585,7.7,0.086,0.2965,-15,0.406,,,4.720930233,25.91731669,-14.30389949
s262,Inv,0.29,7.9,0.091,0.095,-17.3,0.367,,,4.032967033,16.58947967,-17.26331991
s269,Inv,2.023,10.2,0.006,0.581,-8.4,0.108,,may have inorganic carbonate present,18,73.01289491,-4.896331817
